Item Municipal|DESCRIÇÃO DO SERVIÇO MUNICIPAL|ALÍQUOTA|BENEFÍCIO FISCAL|SOCIEDADE|COMENTÁRIO|UF|CIDADE|Do prestador|Do tomador|Descrição
10.01|Agenciamento, corretagem ou intermediação de câmbio, de seguros, de cartões de crédito, de planos de saúde e de planos de previdência privada.|2%|Portaria Intersecretarial SF/SEME/SNJ/SGM nº 6/2015; Decreto n° 56.235/2015, art. 259, 264, 265; 301; 302 a 312; 313 a 323; 331; art. 357 a 371; 513; Lei n° 16.050/2014, art. 179, 185; Instrução Normativa SF/SUREM nº 8/2014; Lei n° 15.931/2013; Lei n° 15.928/2013; Decreto nº 54.129/2013; Decreto n° 53.151/2012, art. 146; Decreto n° 53.151/2012, arts. 155 a 158; Decreto nº 50.567/2009; Lei n°14.863/2008; Lei nº 14.864/2008;Lei nº 16.359/2016|||SP|São Paulo|6130|9776|Corretagem de seguros.
10.02|Agenciamento, corretagem ou intermediação de títulos em geral, valores mobiliários e contratos quaisquer.|5%|Portaria Intersecretarial SF/SEME/SNJ/SGM nº 6/2015; Decreto n° 56.235/2015, art. 259, 264, 265; 301; 302 a 312; 313 a 323; 331; art. 357 a 371; 513; Lei n° 16.050/2014, art. 179, 185; Instrução Normativa SF/SUREM nº 8/2014; Lei n° 15.931/2013; Lei n° 15.928/2013; Decreto nº 54.129/2013; Decreto n° 53.151/2012, art. 146; Decreto n° 53.151/2012, arts. 155 a 158; Decreto nº 50.567/2009; Lei n°14.863/2008; Lei nº 14.864/2008;Lei nº 16.359/2016|||SP|São Paulo|6157|9784|Agenciamento, corretagem ou intermediação de títulos em geral, valores mobiliários e contratos quaisquer.
10.03|Agenciamento, corretagem ou intermediação de direitos de propriedade industrial, artística ou literária.|5%|Portaria Intersecretarial SF/SEME/SNJ/SGM nº 6/2015; Decreto n° 56.235/2015, art. 259, 264, 265; 301; 302 a 312; 313 a 323; 331; art. 357 a 371; 513; Lei n° 16.050/2014, art. 179, 185; Instrução Normativa SF/SUREM nº 8/2014; Lei n° 15.931/2013; Lei n° 15.928/2013; Decreto nº 54.129/2013; Decreto n° 53.151/2012, art. 146; Decreto n° 53.151/2012, arts. 155 a 158; Decreto nº 50.567/2009; Lei n°14.863/2008; Lei nº 14.864/2008;Lei nº 16.359/2016|||SP|São Paulo|6173|9784|Agenciamento, corretagem ou intermediação de direitos de propriedade industrial (inclusive marcas e patentes), artística ou literária.
10.04|Agenciamento, corretagem ou intermediação de contratos de arrendamento mercantil (leasing), de franquia (franchising) e de faturização (factoring).|5%|Portaria Intersecretarial SF/SEME/SNJ/SGM nº 6/2015; Decreto n° 56.235/2015, art. 259, 264, 265; 301; 302 a 312; 313 a 323; 331; art. 357 a 371; 513; Lei n° 16.050/2014, art. 179, 185; Instrução Normativa SF/SUREM nº 8/2014; Lei n° 15.931/2013; Lei n° 15.928/2013; Decreto nº 54.129/2013; Decreto n° 53.151/2012, art. 146; Decreto n° 53.151/2012, arts. 155 a 158; Decreto nº 50.567/2009; Lei n°14.863/2008; Lei nº 14.864/2008;Lei nº 16.359/2016|||SP|São Paulo|6190|9784|Agenciamento, corretagem ou intermediação de contratos de arrendamento mercantil (leasing).
10.04|Agenciamento, corretagem ou intermediação de contratos de arrendamento mercantil (leasing), de franquia (franchising) e de faturização (factoring).|5%|Portaria Intersecretarial SF/SEME/SNJ/SGM nº 6/2015; Decreto n° 56.235/2015, art. 259, 264, 265; 301; 302 a 312; 313 a 323; 331; art. 357 a 371; 513; Lei n° 16.050/2014, art. 179, 185; Instrução Normativa SF/SUREM nº 8/2014; Lei n° 15.931/2013; Lei n° 15.928/2013; Decreto nº 54.129/2013; Decreto n° 53.151/2012, art. 146; Decreto n° 53.151/2012, arts. 155 a 158; Decreto nº 50.567/2009; Lei n°14.863/2008; Lei nº 14.864/2008;Lei nº 16.359/2016|||SP|São Paulo|6220|9784|Agenciamento, corretagem ou intermediação de contratos de franquia (franchising).
10.04|Agenciamento, corretagem ou intermediação de contratos de arrendamento mercantil (leasing), de franquia (franchising) e de faturização (factoring).|5%|Portaria Intersecretarial SF/SEME/SNJ/SGM nº 6/2015; Decreto n° 56.235/2015, art. 259, 264, 265; 301; 302 a 312; 313 a 323; 331; art. 357 a 371; 513; Lei n° 16.050/2014, art. 179, 185; Instrução Normativa SF/SUREM nº 8/2014; Lei n° 15.931/2013; Lei n° 15.928/2013; Decreto nº 54.129/2013; Decreto n° 53.151/2012, art. 146; Decreto n° 53.151/2012, arts. 155 a 158; Decreto nº 50.567/2009; Lei n°14.863/2008; Lei nº 14.864/2008;Lei nº 16.359/2016|||SP|São Paulo|6238|9784|Agenciamento, corretagem ou intermediação de contratos de faturização (factoring).
10.05|Agenciamento, corretagem ou intermediação de bens móveis ou imóveis, não abrangidos em outros itens ou subitens, inclusive aqueles realizados no âmbito de Bolsas de Mercadorias e Futuros, por quaisquer meios.|5%|Portaria Intersecretarial SF/SEME/SNJ/SGM nº 6/2015; Decreto n° 56.235/2015, art. 259, 264, 265; 301; 302 a 312; 313 a 323; 331; art. 357 a 371; 513; Lei n° 16.050/2014, art. 179, 185; Instrução Normativa SF/SUREM nº 8/2014; Lei n° 15.931/2013; Lei n° 15.928/2013; Decreto nº 54.129/2013; Decreto n° 53.151/2012, art. 146; Decreto n° 53.151/2012, arts. 155 a 158; Decreto nº 50.567/2009; Lei n°14.863/2008; Lei nº 14.864/2008;Lei nº 16.359/2016|||SP|São Paulo|6270|9784|Agenciamento, corretagem ou intermediação de bens, realizados no âmbito de Bolsas de Mercadorias e Futuros, por quaisquer meios.
10.05|Agenciamento, corretagem ou intermediação de bens móveis ou imóveis, não abrangidos em outros itens ou subitens, inclusive aqueles realizados no âmbito de Bolsas de Mercadorias e Futuros, por quaisquer meios.|5%|Portaria Intersecretarial SF/SEME/SNJ/SGM nº 6/2015; Decreto n° 56.235/2015, art. 259, 264, 265; 301; 302 a 312; 313 a 323; 331; art. 357 a 371; 513; Lei n° 16.050/2014, art. 179, 185; Instrução Normativa SF/SUREM nº 8/2014; Lei n° 15.931/2013; Lei n° 15.928/2013; Decreto nº 54.129/2013; Decreto n° 53.151/2012, art. 146; Decreto n° 53.151/2012, arts. 155 a 158; Decreto nº 50.567/2009; Lei n°14.863/2008; Lei nº 14.864/2008;Lei nº 16.359/2016|||SP|São Paulo|6297|9784|Agenciamento, corretagem
10.05|Agenciamento, corretagem ou intermediação de bens móveis ou imóveis, não abrangidos em outros itens ou subitens, inclusive aqueles realizados no âmbito de Bolsas de Mercadorias e Futuros, por quaisquer meios.|5%|Portaria Intersecretarial SF/SEME/SNJ/SGM nº 6/2015; Decreto n° 56.235/2015, art. 259, 264, 265; 301; 302 a 312; 313 a 323; 331; art. 357 a 371; 513; Lei n° 16.050/2014, art. 179, 185; Instrução Normativa SF/SUREM nº 8/2014; Lei n° 15.931/2013; Lei n° 15.928/2013; Decreto nº 54.129/2013; Decreto n° 53.151/2012, art. 146; Decreto n° 53.151/2012, arts. 155 a 158; Decreto nº 50.567/2009; Lei n°14.863/2008; Lei nº 14.864/2008;Lei nº 16.359/2016|||SP|São Paulo|6298|9784|Agenciamento, corretagem ou intermediação de bens móveis, não abrangidos em outros itens ou subitens, por quaisquer meios.
10.06|Agenciamento marítimo.|5%|Portaria Intersecretarial SF/SEME/SNJ/SGM nº 6/2015; Decreto n° 56.235/2015, art. 259, 264, 265; 301; 302 a 312; 313 a 323; 331; art. 357 a 371; 513; Lei n° 16.050/2014, art. 179, 185; Instrução Normativa SF/SUREM nº 8/2014; Lei n° 15.931/2013; Lei n° 15.928/2013; Decreto nº 54.129/2013; Decreto n° 53.151/2012, art. 146; Decreto n° 53.151/2012, arts. 155 a 158; Decreto nº 50.567/2009; Lei n°14.863/2008; Lei nº 14.864/2008;Lei nº 16.359/2016|||SP|São Paulo|6335|9784|Agenciamento marítimo.
10.07|Agenciamento de notícias.|5%|Portaria Intersecretarial SF/SEME/SNJ/SGM nº 6/2015; Decreto n° 56.235/2015, art. 259, 264, 265; 301; 302 a 312; 313 a 323; 331; art. 357 a 371; 513; Lei n° 16.050/2014, art. 179, 185; Instrução Normativa SF/SUREM nº 8/2014; Lei n° 15.931/2013; Lei n° 15.928/2013; Decreto nº 54.129/2013; Decreto n° 53.151/2012, art. 146; Decreto n° 53.151/2012, arts. 155 a 158; Decreto nº 50.567/2009; Lei n°14.863/2008; Lei nº 14.864/2008;Lei nº 16.359/2016|||SP|São Paulo|6351|9784|Agenciamento de notícias.
10.08|Agenciamento de publicidade e propaganda, inclusive o agenciamento de veiculação por quaisquer meios.|5%|Portaria Intersecretarial SF/SEME/SNJ/SGM nº 6/2015; Decreto n° 56.235/2015, art. 259, 264, 265; 301; 302 a 312; 313 a 323; 331; art. 357 a 371; 513; Lei n° 16.050/2014, art. 179, 185; Instrução Normativa SF/SUREM nº 8/2014; Lei n° 15.931/2013; Lei n° 15.928/2013; Decreto nº 54.129/2013; Decreto n° 53.151/2012, art. 146; Decreto n° 53.151/2012, arts. 155 a 158; Decreto nº 50.567/2009; Lei n°14.863/2008; Lei nº 14.864/2008;Lei nº 16.359/2016||De acordo com a Lei nº 14.096/2005, Tabela, seção 3, o município estabelece alíquota de 2% para os serviços de propaganda e publicidade, desde que situado na Região Adjacente à Estação da Luz.|SP|São Paulo|6394|9784|Agenciamento de publicidade e propaganda, inclusive o agenciamento de veiculação por quaisquer meios.
10.09|Representação de qualquer natureza, inclusive comercial.|5%|Portaria Intersecretarial SF/SEME/SNJ/SGM nº 6/2015; Decreto n° 56.235/2015, art. 259, 264, 265; 301; 302 a 312; 313 a 323; 331; art. 357 a 371; 513; Lei n° 16.050/2014, art. 179, 185; Instrução Normativa SF/SUREM nº 8/2014; Lei n° 15.931/2013; Lei n° 15.928/2013; Decreto nº 54.129/2013; Decreto n° 53.151/2012, art. 146; Decreto n° 53.151/2012, arts. 155 a 158; Decreto nº 50.567/2009; Lei n°14.863/2008; Lei nº 14.864/2008;Lei nº 16.359/2016|||SP|São Paulo|6009|9806|Representação de qualquer natureza, inclusive comercial.
10.10|Distribuição de bens de terceiros.|5%|Portaria Intersecretarial SF/SEME/SNJ/SGM nº 6/2015; Decreto n° 56.235/2015, art. 259, 264, 265; 301; 302 a 312; 313 a 323; 331; art. 357 a 371; 513; Lei n° 16.050/2014, art. 179, 185; Instrução Normativa SF/SUREM nº 8/2014; Lei n° 15.931/2013; Lei n° 15.928/2013; Decreto n° 54.129/2013; Decreto n° 53.151/2012, art. 146; Decreto n° 53.151/2012, arts. 155 a 158; Decreto nº 50.567/2009; Lei n°14.863/2008; Lei nº 14.864/2008;Lei nº 16.359/2016|||SP|São Paulo|6041|9806|Distribuição de bens de terceiros.
11|Serviços de guarda, estacionamento, armazenamento, vigilância e congêneres.|||||SP|São Paulo|||
11.01|Guarda e estacionamento de veículos terrestres automotores, de aeronaves e de embarcações.|5%|Portaria Intersecretarial SF/SEME/SNJ/SGM nº 6/2015; Decreto n° 56.235/2015, art. 259, 264, 265; 301; 302 a 312; 313 a 323; 331; art. 357 a 371; 513; Lei n° 16.050/2014, art. 179, 185; Instrução Normativa SF/SUREM nº 8/2014; Lei n° 15.931/2013; Lei n° 15.928/2013; Decreto nº 54.129/2013; Decreto n° 53.151/2012, art. 146; Decreto n° 53.151/2012, arts. 155 a 158; Decreto nº 50.567/2009; Lei n°14.863/2008; Lei nº 14.864/2008;Lei nº 16.359/2016|||SP|São Paulo|7811|9687|Guarda e estacionamento de veículos terrestres automotores.
11.01|Guarda e estacionamento de veículos terrestres automotores, de aeronaves e de embarcações.|5%|Portaria Intersecretarial SF/SEME/SNJ/SGM nº 6/2015; Decreto n° 56.235/2015, art. 259, 264, 265; 301; 302 a 312; 313 a 323; 331; art. 357 a 371; 513; Lei n° 16.050/2014, art. 179, 185; Instrução Normativa SF/SUREM nº 8/2014; Lei n° 15.931/2013; Lei n° 15.928/2013; Decreto nº 54.129/2013; Decreto n° 53.151/2012, art. 146; Decreto n° 53.151/2012, arts. 155 a 158; Decreto nº 50.567/2009; Lei n°14.863/2008; Lei nº 14.864/2008;Lei nº 16.359/2016|||SP|São Paulo|7838|9687|Guarda e estacionamento de veículos terrestres automotores, em postos de gasolina.
11.01|Guarda e estacionamento de veículos terrestres automotores, de aeronaves e de embarcações.|5%|Portaria Intersecretarial SF/SEME/SNJ/SGM nº 6/2015; Decreto n° 56.235/2015, art. 259, 264, 265; 301; 302 a 312; 313 a 323; 331; art. 357 a 371; 513; Lei n° 16.050/2014, art. 179, 185; Instrução Normativa SF/SUREM nº 8/2014; Lei n° 15.931/2013; Lei n° 15.928/2013; Decreto nº 54.129/2013; Decreto n° 53.151/2012, art. 146; Decreto n° 53.151/2012, arts. 155 a 158; Decreto nº 50.567/2009; Lei n°14.863/2008; Lei nº 14.864/2008;Lei nº 16.359/2016|||SP|São Paulo|7846|9687|Guarda e estacionamento de veículos terrestres automotores, do tipo valet service.
11.01|Guarda e estacionamento de veículos terrestres automotores, de aeronaves e de embarcações.|5%|Portaria Intersecretarial SF/SEME/SNJ/SGM nº 6/2015; Decreto n° 56.235/2015, art. 259, 264, 265; 301; 302 a 312; 313 a 323; 331; art. 357 a 371; 513; Lei n° 16.050/2014, art. 179, 185; Instrução Normativa SF/SUREM nº 8/2014; Lei n° 15.931/2013; Lei n° 15.928/2013; Decreto nº 54.129/2013; Decreto n° 53.151/2012, art. 146; Decreto n° 53.151/2012, arts. 155 a 158; Decreto nº 50.567/2009; Lei n°14.863/2008; Lei nº 14.864/2008;Lei nº 16.359/2016|||SP|São Paulo|7854|9687|Guarda e estacionamento de aeronaves e de embarcações
11.02|Vigilância, segurança ou monitoramento de bens, pessoas e semoventes.|2%|Portaria Intersecretarial SF/SEME/SNJ/SGM nº 6/2015; Decreto n° 56.235/2015, art. 259, 264, 265; 301; 302 a 312; 313 a 323; 331; art. 357 a 371; 513; Lei n° 16.050/2014, art. 179, 185; Instrução Normativa SF/SUREM nº 8/2014; Lei n° 15.931/2013; Lei n° 15.928/2013; Decreto nº 54.129/2013; Decreto n° 53.151/2012, art. 146; Decreto n° 53.151/2012, arts. 155 a 158; Decreto nº 50.567/2009; Lei n°14.863/2008; Lei nº 14.864/2008;Lei nº 16.359/2016|||SP|São Paulo|7870|9679|Vigilância, segurança ou monitoramento de bens, pessoas e semoventes.
11.03|Escolta, inclusive de veículos e cargas.|2%|Portaria Intersecretarial SF/SEME/SNJ/SGM nº 6/2015; Decreto n° 56.235/2015, art. 259, 264, 265; 301; 302 a 312; 313 a 323; 331; art. 357 a 371; 513; Lei n° 16.050/2014, art. 179, 185; Instrução Normativa SF/SUREM nº 8/2014; Lei n° 15.931/2013; Lei n° 15.928/2013; Decreto nº 54.129/2013; Decreto n° 53.151/2012, art. 146; Decreto n° 53.151/2012, arts. 155 a 158; Decreto nº 50.567/2009; Lei n°14.863/2008; Lei nº 14.864/2008;Lei nº 16.359/2016|||SP|São Paulo|7897|9679|Escolta, inclusive de veículos e cargas.
11.04|Armazenamento, depósito, carga, descarga, arrumação e guarda de bens de qualquer espécie.|5%|Portaria Intersecretarial SF/SEME/SNJ/SGM nº 6/2015; Decreto n° 56.235/2015, art. 259, 264, 265; 301; 302 a 312; 313 a 323; 331; art. 357 a 371; 513; Lei n° 16.050/2014, art. 179, 185; Instrução Normativa SF/SUREM nº 8/2014; Lei n° 15.931/2013; Lei n° 15.928/2013; Decreto nº 54.129/2013; Decreto n° 53.151/2012, art. 146; Decreto n° 53.151/2012, arts. 155 a 158; Decreto nº 50.567/2009; Lei n°14.863/2008; Lei nº 14.864/2008;Lei nº 16.359/2016|||SP|São Paulo|7927|9687|Armazenamento, depósito, carga, descarga, arrumação e guarda de bens de qualquer espécie.
12|Serviços de diversões, lazer, entretenimento e congêneres.|||||SP|São Paulo|||
12.01|Espetáculos teatrais.|2%|Decreto nº 56.302/2015; Portaria Intersecretarial SF/SEME/SNJ/SGM nº 6/2015; Decreto n° 56.235/2015, arts. 259; 264; 269; 271; 273; 274; 291 a 300; 301; 302 a 312; 331; 357 a 371; Lei nº 16.127/2015; Lei n° 16.097/2014, art. 14; Lei n° 16.050/2014, art. 179, 185; Instrução Normativa SF/SUREM nº 8/2014; Lei nº 15.948/2013; Lei n° 15.928/2013; Decreto n° 54.129/2013; Decreto n° 53.151/2012, art. 147; Decreto n° 53.151/2012, arts. 155 a 158; Lei nº 15.134/.2010; Decreto nº 50.567/2009; Lei n°14.863/2008; Lei nº 14.864/2008; Lei n° 14.096/2005; Decreto n° 46.996/2006;Lei nº 16.359/2016||De acordo com a Lei nº 14.096/2005, Tabela, seção 3, o município estabelece alíquota de 2% para os serviços de espetáculos teatrais e circenses, exibições cinematográficas e programas de auditório, desde que situado na Região Adjacente à Estação da Luz.|SP|São Paulo|8052|9652|Espetáculos teatrais.
12.01|Espetáculos teatrais.|2%|Decreto nº 56.302/2015; Portaria Intersecretarial SF/SEME/SNJ/SGM nº 6/2015; Decreto n° 56.235/2015, arts. 259; 264; 269; 271; 273; 274; 291 a 300; 301; 302 a 312; 331; 357 a 371; Lei nº 16.127/2015; Lei n° 16.097/2014, art. 14; Lei n° 16.050/2014, art. 179, 185; Instrução Normativa SF/SUREM nº 8/2014; Lei nº 15.948/2013; Lei n° 15.928/2013; Decreto n° 54.129/2013; Decreto n° 53.151/2012, art. 147; Decreto n° 53.151/2012, arts. 155 a 158; Lei nº 15.134/.2010; Decreto nº 50.567/2009; Lei n°14.863/2008; Lei nº 14.864/2008; Lei n° 14.096/2005; Decreto n° 46.996/2006;Lei nº 16.359/2016||De acordo com a Lei nº 14.096/2005, Tabela, seção 3, o município estabelece alíquota de 2% para os serviços de espetáculos teatrais e circenses, exibições cinematográficas e programas de auditório, desde que situado na Região Adjacente à Estação da Luz.|SP|São Paulo|8274|9652|Espetáculos teatrais e espetáculos circenses, óperas, ballet, danças, concertos, recitais e congêneres (contribuinte não estabelecido no Município de São Paulo).
12.02|Exibições cinematográficas.|5%|Decreto nº 56.302/2015; Portaria Intersecretarial SF/SEME/SNJ/SGM nº 6/2015; Decreto n° 56.235/2015, arts. 259; 264; 269; 271; 273; 274; 291 a 300; 301; 302 a 312; 313 a 323; 324 a 329; 331; 357 a 371; Lei nº 16.127/2015; Lei n° 16.097/2014, art. 14; Lei n° 16.050/2014, art. 179, 185; Instrução Normativa SF/SUREM nº 8/2014; Lei nº 15.948/2013; Lei n° 15.931/2013; Lei n° 15.928/2013; Decreto n° 54.129/2013; Decreto n° 53.151/2012, art. 147; Decreto n° 53.151/2012, arts. 155 a 158; Lei nº 15.134/.2010; Decreto nº 50.567/2009; Lei n°14.863/2008; Lei nº 14.864/2008; Lei n° 14.096/2005; Decreto n° 46.996/2006; Lei n° 13.712/2004 e Decreto nº 45.682/2004;Lei nº 16.359/2016||De acordo com a Lei nº 14.096/2005, Tabela, seção 3, o município estabelece alíquota de 2% para os serviços de espetáculos teatrais e circenses, exibições cinematográficas e programas de auditório, desde que situado na Região Adjacente à Estação da Luz.|SP|São Paulo|8079|9660|Exibições cinematográficas.
12.02|Exibições cinematográficas.|5%|Decreto nº 56.302/2015; Portaria Intersecretarial SF/SEME/SNJ/SGM nº 6/2015; Decreto n° 56.235/2015, arts. 259; 264; 269; 271; 273; 274; 291 a 300; 301; 302 a 312; 313 a 323; 324 a 329; 331; 357 a 371; Lei nº 16.127/2015; Lei n° 16.097/2014, art. 14; Lei n° 16.050/2014, art. 179, 185; Instrução Normativa SF/SUREM nº 8/2014; Lei nº 15.948/2013; Lei n° 15.931/2013; Lei n° 15.928/2013; Decreto n° 54.129/2013; Decreto n° 53.151/2012, art. 147; Decreto n° 53.151/2012, arts. 155 a 158; Lei nº 15.134/.2010; Decreto nº 50.567/2009; Lei n°14.863/2008; Lei nº 14.864/2008; Lei n° 14.096/2005; Decreto n° 46.996/2006; Lei n° 13.712/2004 e Decreto nº 45.682/2004;Lei nº 16.359/2016||De acordo com a Lei nº 14.096/2005, Tabela, seção 3, o município estabelece alíquota de 2% para os serviços de espetáculos teatrais e circenses, exibições cinematográficas e programas de auditório, desde que situado na Região Adjacente à Estação da Luz.|SP|São Paulo|8273|9660|Prestação de serviço de Diversões Públicas, prestado por contribuinte não estabelecido no Município de São Paulo.
12.03|Espetáculos circenses.|2%|Decreto nº 56.302/2015; Portaria Intersecretarial SF/SEME/SNJ/SGM nº 6/2015; Decreto n° 56.235/2015, arts. 259; 264; 269; 271; 273; 274; 291 a 300; 301; 302 a 312; 331; 357 a 371; Lei nº 16.127/2015; Lei n° 16.097/2014, art. 14; Lei n° 16.050/2014, art. 179, 185; Instrução Normativa SF/SUREM nº 8/2014; Lei nº 15.948/2013; Lei n° 15.928/2013; Decreto n° 54.129/2013; Decreto n° 53.151/2012, art. 147; Decreto n° 53.151/2012, arts. 155 a 158; Lei nº 15.134/.2010; Decreto nº 50.567/2009; Lei n°14.863/2008; Lei nº 14.864/2008; Lei n° 14.096/2005; Decreto n° 46.996/2006;Lei nº 16.359/2016||De acordo com a Lei nº 14.096/2005, Tabela, seção 3, o município estabelece alíquota de 2% para os serviços de espetáculos teatrais e circenses, exibições cinematográficas e programas de auditório, desde que situado na Região Adjacente à Estação da Luz.|SP|São Paulo|8087|9652|Espetáculos circenses.
12.03|Espetáculos circenses.|2%|Decreto nº 56.302/2015; Portaria Intersecretarial SF/SEME/SNJ/SGM nº 6/2015; Decreto n° 56.235/2015, arts. 259; 264; 269; 271; 273; 274; 291 a 300; 301; 302 a 312; 331; 357 a 371; Lei nº 16.127/2015; Lei n° 16.097/2014, art. 14; Lei n° 16.050/2014, art. 179, 185; Instrução Normativa SF/SUREM nº 8/2014; Lei nº 15.948/2013; Lei n° 15.928/2013; Decreto n° 54.129/2013; Decreto n° 53.151/2012, art. 147; Decreto n° 53.151/2012, arts. 155 a 158; Lei nº 15.134/.2010; Decreto nº 50.567/2009; Lei n°14.863/2008; Lei nº 14.864/2008; Lei n° 14.096/2005; Decreto n° 46.996/2006;Lei nº 16.359/2016||De acordo com a Lei nº 14.096/2005, Tabela, seção 3, o município estabelece alíquota de 2% para os serviços de espetáculos teatrais e circenses, exibições cinematográficas e programas de auditório, desde que situado na Região Adjacente à Estação da Luz.|SP|São Paulo|8274|9652|Espetáculos teatrais e espetáculos circenses, óperas, ballet, danças, concertos, recitais e congêneres (contribuinte não estabelecido no Município de São Paulo).
12.04|Programas de auditório.|5%|Decreto nº 56.302/2015; Portaria Intersecretarial SF/SEME/SNJ/SGM nº 6/2015; Decreto n° 56.235/2015, arts. 259; 264; 274; 291 a 300; 301; 302 a 312; 331; 357 a 371; Lei n° 16.050/2014, art. 179, 185; Instrução Normativa SF/SUREM nº 8/2014; Lei nº 15.948/2013; Lei n° 15.928/2013; Decreto n° 54.129/2013; Decreto n° 53.151/2012, arts. 155 a 158; Decreto nº 50.567/2009; Lei n°14.863/2008; Lei nº 14.864/2008;Lei n° 14.096/2005; Decreto n° 46.996/2006;Lei nº 16.359/2016||De acordo com a Lei nº 14.096/2005, Tabela, seção 3, o município estabelece alíquota de 2% para os serviços de espetáculos teatrais e circenses, exibições cinematográficas e programas de auditório, desde que situado na Região Adjacente à Estação da Luz.|SP|São Paulo|8095|9660|Programas de auditório.
12.04|Programas de auditório.|5%|Decreto nº 56.302/2015; Portaria Intersecretarial SF/SEME/SNJ/SGM nº 6/2015; Decreto n° 56.235/2015, arts. 259; 264; 274; 291 a 300; 301; 302 a 312; 331; 357 a 371; Lei n° 16.050/2014, art. 179, 185; Instrução Normativa SF/SUREM nº 8/2014; Lei nº 15.948/2013; Lei n° 15.928/2013; Decreto n° 54.129/2013; Decreto n° 53.151/2012, arts. 155 a 158; Decreto nº 50.567/2009; Lei n°14.863/2008; Lei nº 14.864/2008;Lei n° 14.096/2005; Decreto n° 46.996/2006;Lei nº 16.359/2016||De acordo com a Lei nº 14.096/2005, Tabela, seção 3, o município estabelece alíquota de 2% para os serviços de espetáculos teatrais e circenses, exibições cinematográficas e programas de auditório, desde que situado na Região Adjacente à Estação da Luz.|SP|São Paulo|8273|9660|Prestação de serviço de Diversões Públicas, prestado por contribuinte não estabelecido no Município de São Paulo.
12.05|Parques de diversões, centros de lazer e congêneres.|2%|Decreto nº 56.302/2015; Portaria Intersecretarial SF/SEME/SNJ/SGM nº 6/2015; Decreto n° 56.235/2015, arts. 259; 264; 274; 291 a 300; 301; 302 a 312; 357 a 371; Lei nº 16.127/2015; Lei n° 16.050/2014, art. 179, 185; Instrução Normativa SF/SUREM nº 8/2014; Lei nº 15.948/2013; Lei n° 15.928/2013; Decreto n° 54.129/2013; Decreto n° 53.151/2012, arts. 155 a 158; Decreto nº 50.567/2009; Lei n°14.863/2008; Lei nº 14.864/2008;Lei nº 16.359/2016|||SP|São Paulo|8117|9652|Parques de diversões, centros de lazer e congêneres.
12.05|Parques de diversões, centros de lazer e congêneres.|2%|Decreto nº 56.302/2015; Portaria Intersecretarial SF/SEME/SNJ/SGM nº 6/2015; Decreto n° 56.235/2015, arts. 259; 264; 274; 291 a 300; 301; 302 a 312; 357 a 371; Lei nº 16.127/2015; Lei n° 16.050/2014, art. 179, 185; Instrução Normativa SF/SUREM nº 8/2014; Lei nº 15.948/2013; Lei n° 15.928/2013; Decreto n° 54.129/2013; Decreto n° 53.151/2012, arts. 155 a 158; Decreto nº 50.567/2009; Lei n°14.863/2008; Lei nº 14.864/2008;Lei nº 16.359/2016|||SP|São Paulo|8257|9652|Parques de diversões, centros de lazer e congêneres (contribuinte não estabelecido no Município de São Paulo).
12.06|Boates, taxi-dancing e congêneres.|5%|Decreto nº 56.302/2015; Portaria Intersecretarial SF/SEME/SNJ/SGM nº 6/2015; Decreto n° 56.235/2015, arts. 259; 264; 301; 302 a 312; 313 a 323; 357 a 371; Lei n° 16.050/2014, art. 179, 185; Instrução Normativa SF/SUREM nº 8/2014; Lei n° 15.928/2013; Decreto n° 54.129/2013; Decreto n° 53.151/2012, arts. 155 a 158; Decreto nº 50.567/2009; Lei n°14.863/2008; Lei nº 14.864/2008;Lei nº 16.359/2016|||SP|São Paulo|8125|9660|Boates, taxi-dancing, night-club, cabaré, danceteria, casas noturnas, bares noturnos, restaurantes dançantes e outros estabelecimentos de diversão pública com cobrança de couvert artístico e congêneres.
12.06|Boates, taxi-dancing e congêneres.|5%|Decreto nº 56.302/2015; Portaria Intersecretarial SF/SEME/SNJ/SGM nº 6/2015; Decreto n° 56.235/2015, arts. 259; 264; 301; 302 a 312; 313 a 323; 357 a 371; Lei n° 16.050/2014, art. 179, 185; Instrução Normativa SF/SUREM nº 8/2014; Lei n° 15.928/2013; Decreto n° 54.129/2013; Decreto n° 53.151/2012, arts. 155 a 158; Decreto nº 50.567/2009; Lei n°14.863/2008; Lei nº 14.864/2008;Lei nº 16.359/2016|||SP|São Paulo|8273|9660|Prestação de serviço de Diversões Públicas, prestado por contribuinte não estabelecido no Município de São Paulo.
